bird,preD,postD,condition
9163,2.289064232,-0.595996893,white
9270,1.829464521,0.100982912,white
9275,0.932882154,0.261989672,white
9276,2.925746165,2.316143309,white
9277,2.381539981,0.87705369,rgb
9280,0.515844264,2.169170563,rgb
9281,-0.094927953,0.219240327,rgb
9282,3.584259175,2.532209275,rgb
9283,2.158430526,0.551904486,white
9288,0.49531352,0.341978692,rgb
9289,-0.465704727,3.110557116,white
9291,2.511586493,0.422402809,white
9295,-0.331349194,0.833284251,rgb
9297,1.91084462,2.113359048,rgb
9298,1.343368041,2.545499301,rgb
9300,0.228960384,0.601901637,white
9309,0.223198956,0.789627679,rgb
9310,0.411363781,1.34617602,rgb
9321,0.914670046,0.466340317,white
9325,1.569399817,-0.456456219,white
9327,1.209506253,1.274257084,rgb
9333,1.305413492,0.106885708,white
9337,0.93989196,0.894640446,rgb
9342,0.733870447,0.870824462,white
