subj,re,stim,cond,block,contrast,correct,incorrect,dprime
ONOFF01,6.5,dog,OFF,2,-0.1,22,3,1.4426110264458825
ONOFF01,6.5,dog,OFF,2,-0.06812920690579616,25,0,2.5014984117164634
ONOFF01,6.5,dog,OFF,2,-0.046415888336127774,23,2,1.6947343494350846
ONOFF01,6.5,dog,OFF,2,-0.03162277660168379,22,3,1.4426110264458825
ONOFF01,6.5,dog,OFF,2,-0.021544346900318832,16,9,0.41489293850243403
ONOFF01,6.5,dog,OFF,2,-0.014677992676220698,13,12,2.874038784739241e-10
ONOFF01,6.5,dog,OFF,2,-0.01,16,9,0.41489293850243403
ONOFF01,6.5,dog,OFF,2,-0.1,24,1,2.0167750097102912
ONOFF01,6.5,dog,OFF,2,-0.06812920690579616,21,4,1.2295505815588192
ONOFF01,6.5,dog,OFF,2,-0.046415888336127774,25,0,2.5014984117164634
ONOFF01,6.5,dog,OFF,2,-0.03162277660168379,20,5,1.041278337952849
ONOFF01,6.5,dog,OFF,2,-0.021544346900318832,18,7,0.7105095978385982
ONOFF01,6.5,dog,OFF,2,-0.014677992676220698,11,14,-0.27439004973296216
ONOFF01,6.5,dog,OFF,2,-0.01,13,12,2.874038784739241e-10
ONOFF01,6.5,dog,OFF,2,-0.1,24,1,2.0167750097102912
ONOFF01,6.5,dog,OFF,2,-0.06812920690579616,20,5,1.041278337952849
ONOFF01,6.5,dog,OFF,2,-0.046415888336127774,21,4,1.2295505815588192
ONOFF01,6.5,dog,OFF,2,-0.03162277660168379,23,2,1.6947343494350846
ONOFF01,6.5,dog,OFF,2,-0.021544346900318832,14,11,0.13658298765820454
ONOFF01,6.5,dog,OFF,2,-0.014677992676220698,14,11,0.13658298765820454
ONOFF01,6.5,dog,OFF,2,-0.01,12,13,-0.1365829866590088
ONOFF01,6.5,dog,OFF,2,-0.1,25,0,2.5014984117164634
ONOFF01,6.5,dog,OFF,2,-0.06812920690579616,22,3,1.4426110264458825
ONOFF01,6.5,dog,OFF,2,-0.046415888336127774,22,3,1.4426110264458825
ONOFF01,6.5,dog,OFF,2,-0.03162277660168379,20,5,1.041278337952849
ONOFF01,6.5,dog,OFF,2,-0.021544346900318832,15,10,0.27439004975667836
ONOFF01,6.5,dog,OFF,2,-0.014677992676220698,14,11,0.13658298765820454
ONOFF01,6.5,dog,OFF,2,-0.01,16,9,0.41489293850243403
ONOFF01,-6.5,dog,OFF,4,0.01,16,9,0.41489293850243403
ONOFF01,-6.5,dog,OFF,4,0.014677992676220698,15,10,0.27439004975667836
ONOFF01,-6.5,dog,OFF,4,0.021544346900318832,16,9,0.41489293850243403
ONOFF01,-6.5,dog,OFF,4,0.03162277660168379,19,6,0.86994071643449
ONOFF01,-6.5,dog,OFF,4,0.046415888336127774,21,4,1.2295505815588192
ONOFF01,-6.5,dog,OFF,4,0.06812920690579616,19,6,0.86994071643449
ONOFF01,-6.5,dog,OFF,4,0.1,24,1,2.0167750097102912
ONOFF01,-6.5,dog,OFF,4,0.01,16,9,0.41489293850243403
ONOFF01,-6.5,dog,OFF,4,0.014677992676220698,12,13,-0.1365829866590088
ONOFF01,-6.5,dog,OFF,4,0.021544346900318832,14,11,0.13658298765820454
ONOFF01,-6.5,dog,OFF,4,0.03162277660168379,19,6,0.86994071643449
ONOFF01,-6.5,dog,OFF,4,0.046415888336127774,21,4,1.2295505815588192
ONOFF01,-6.5,dog,OFF,4,0.06812920690579616,24,1,2.0167750097102912
ONOFF01,-6.5,dog,OFF,4,0.1,22,3,1.4426110264458825
ONOFF01,-6.5,dog,OFF,4,0.01,11,14,-0.27439004973296216
ONOFF01,-6.5,dog,OFF,4,0.014677992676220698,15,10,0.27439004975667836
ONOFF01,-6.5,dog,OFF,4,0.021544346900318832,16,9,0.41489293850243403
ONOFF01,-6.5,dog,OFF,4,0.03162277660168379,21,4,1.2295505815588192
ONOFF01,-6.5,dog,OFF,4,0.046415888336127774,24,1,2.0167750097102912
ONOFF01,-6.5,dog,OFF,4,0.06812920690579616,23,2,1.6947343494350846
ONOFF01,-6.5,dog,OFF,4,0.1,23,2,1.6947343494350846
ONOFF01,-6.5,dog,OFF,4,0.01,22,3,1.4426110264458825
ONOFF01,-6.5,dog,OFF,4,0.014677992676220698,12,13,-0.1365829866590088
ONOFF01,-6.5,dog,OFF,4,0.021544346900318832,13,12,2.874038784739241e-10
ONOFF01,-6.5,dog,OFF,4,0.03162277660168379,16,9,0.41489293850243403
ONOFF01,-6.5,dog,OFF,4,0.046415888336127774,25,0,2.5014984117164634
ONOFF01,-6.5,dog,OFF,4,0.06812920690579616,23,2,1.6947343494350846
ONOFF01,-6.5,dog,OFF,4,0.1,22,3,1.4426110264458825
ONOFF01,-6.625,dog,ON,1,0.01,13,12,2.874038784739241e-10
ONOFF01,-6.625,dog,ON,1,0.014677992676220698,13,12,2.874038784739241e-10
ONOFF01,-6.625,dog,ON,1,0.021544346900318832,12,13,-0.1365829866590088
ONOFF01,-6.625,dog,ON,1,0.03162277660168379,17,8,0.5596402658619224
ONOFF01,-6.625,dog,ON,1,0.046415888336127774,20,5,1.041278337952849
ONOFF01,-6.625,dog,ON,1,0.06812920690579616,22,3,1.4426110264458825
ONOFF01,-6.625,dog,ON,1,0.1,25,0,2.5014984117164634
ONOFF01,-6.625,dog,ON,1,0.01,11,14,-0.27439004973296216
ONOFF01,-6.625,dog,ON,1,0.014677992676220698,14,11,0.13658298765820454
ONOFF01,-6.625,dog,ON,1,0.021544346900318832,15,10,0.27439004975667836
ONOFF01,-6.625,dog,ON,1,0.03162277660168379,16,9,0.41489293850243403
ONOFF01,-6.625,dog,ON,1,0.046415888336127774,17,8,0.5596402658619224
ONOFF01,-6.625,dog,ON,1,0.06812920690579616,22,3,1.4426110264458825
ONOFF01,-6.625,dog,ON,1,0.1,24,1,2.0167750097102912
ONOFF01,-0.25,dog,ON,1,0.01,18,7,0.7105095978385982
ONOFF01,-0.25,dog,ON,1,0.014677992676220698,15,10,0.27439004975667836
ONOFF01,-0.25,dog,ON,1,0.021544346900318832,16,9,0.41489293850243403
ONOFF01,-0.25,dog,ON,1,0.03162277660168379,19,6,0.86994071643449
ONOFF01,-0.25,dog,ON,1,0.046415888336127774,20,5,1.041278337952849
ONOFF01,-0.25,dog,ON,1,0.06812920690579616,24,1,2.0167750097102912
ONOFF01,-0.25,dog,ON,1,0.1,24,1,2.0167750097102912
ONOFF01,-6.5,dog,ON,1,0.01,20,5,1.041278337952849
ONOFF01,-6.5,dog,ON,1,0.014677992676220698,12,13,-0.1365829866590088
ONOFF01,-6.5,dog,ON,1,0.021544346900318832,10,15,-0.4148929385136534
ONOFF01,-6.5,dog,ON,1,0.03162277660168379,17,8,0.5596402658619224
ONOFF01,-6.5,dog,ON,1,0.046415888336127774,20,5,1.041278337952849
ONOFF01,-6.5,dog,ON,1,0.06812920690579616,24,1,2.0167750097102912
ONOFF01,-6.5,dog,ON,1,0.1,25,0,2.5014984117164634
ONOFF01,-6.5,dog,ON,3,-0.1,22,3,1.4426110264458825
ONOFF01,-6.5,dog,ON,3,-0.06812920690579616,24,1,2.0167750097102912
ONOFF01,-6.5,dog,ON,3,-0.046415888336127774,20,5,1.041278337952849
ONOFF01,-6.5,dog,ON,3,-0.03162277660168379,16,9,0.41489293850243403
ONOFF01,-6.5,dog,ON,3,-0.021544346900318832,18,7,0.7105095978385982
ONOFF01,-6.5,dog,ON,3,-0.014677992676220698,14,11,0.13658298765820454
ONOFF01,-6.5,dog,ON,3,-0.01,10,15,-0.4148929385136534
ONOFF01,-6.5,dog,ON,3,-0.1,21,4,1.2295505815588192
ONOFF01,-6.5,dog,ON,3,-0.06812920690579616,21,4,1.2295505815588192
ONOFF01,-6.5,dog,ON,3,-0.046415888336127774,20,5,1.041278337952849
ONOFF01,-6.5,dog,ON,3,-0.03162277660168379,17,8,0.5596402658619224
ONOFF01,-6.5,dog,ON,3,-0.021544346900318832,17,8,0.5596402658619224
ONOFF01,-6.5,dog,ON,3,-0.014677992676220698,13,12,2.874038784739241e-10
ONOFF01,-6.5,dog,ON,3,-0.01,8,17,-0.7105095978551897
ONOFF01,-6.5,dog,ON,3,-0.1,20,5,1.041278337952849
ONOFF01,-6.5,dog,ON,3,-0.06812920690579616,19,6,0.86994071643449
ONOFF01,-6.5,dog,ON,3,-0.046415888336127774,22,3,1.4426110264458825
ONOFF01,-6.5,dog,ON,3,-0.03162277660168379,17,8,0.5596402658619224
ONOFF01,-6.5,dog,ON,3,-0.021544346900318832,13,12,2.874038784739241e-10
ONOFF01,-6.5,dog,ON,3,-0.014677992676220698,12,13,-0.1365829866590088
ONOFF01,-6.5,dog,ON,3,-0.01,13,12,2.874038784739241e-10
ONOFF01,-6.5,dog,ON,3,-0.1,23,2,1.6947343494350846
ONOFF01,-6.5,dog,ON,3,-0.06812920690579616,22,3,1.4426110264458825
ONOFF01,-6.5,dog,ON,3,-0.046415888336127774,23,2,1.6947343494350846
ONOFF01,-6.5,dog,ON,3,-0.03162277660168379,20,5,1.041278337952849
ONOFF01,-6.5,dog,ON,3,-0.021544346900318832,9,16,-0.5596404680147978
ONOFF01,-6.5,dog,ON,3,-0.014677992676220698,10,15,-0.4148929385136534
ONOFF01,-6.5,dog,ON,3,-0.01,8,17,-0.7105095978551897
ONOFF01,6.5,letter,OFF,2,-0.1,25,0,3.5676123887944677
ONOFF01,6.5,letter,OFF,2,-0.06812920690579616,24,1,3.1556204276860185
ONOFF01,6.5,letter,OFF,2,-0.046415888336127774,23,2,2.883804325427549
ONOFF01,6.5,letter,OFF,2,-0.03162277660168379,16,9,1.8167231725921307
ONOFF01,6.5,letter,OFF,2,-0.021544346900318832,4,21,0.2987077740959031
ONOFF01,6.5,letter,OFF,2,-0.014677992676220698,3,22,0.09490874524494339
ONOFF01,6.5,letter,OFF,2,-0.01,2,23,-0.1646708895843417
ONOFF01,6.5,letter,OFF,2,-0.1,24,1,3.1556204276860185
ONOFF01,6.5,letter,OFF,2,-0.06812920690579616,25,0,3.5676123887944677
ONOFF01,6.5,letter,OFF,2,-0.046415888336127774,23,2,2.883804325427549
ONOFF01,6.5,letter,OFF,2,-0.03162277660168379,9,16,1.016379015123243
ONOFF01,6.5,letter,OFF,2,-0.021544346900318832,11,14,1.2496722578526465
ONOFF01,6.5,letter,OFF,2,-0.014677992676220698,7,18,0.7634256984778596
ONOFF01,6.5,letter,OFF,2,-0.01,2,23,-0.1646708895843417
ONOFF01,6.5,letter,OFF,2,-0.1,24,1,3.1556204276860185
